Layer	Proposed	Gradual	Hard-blind
embedding_map/mask	0.9921283	0.9749921	0.9854298
MultiHeadAdd/query_layer/kernel/mask	0.996605	0.974415	0.99778
memory_layer/kernel/mask	0.997122	0.974469	0.992974
value_layer/kernel/mask	0.99315	0.974854	0.995073
MultiHeadAdd/attention_v/mask	0.783203	0.974609	0.785156
rnn_initial_state/kernel/mask	0.991192	0.974976	0.993462
basic_lstm_cell/kernel/mask	0.981609	0.974757	0.953013
output_projection/kernel/mask	0.985207	0.974956	0.97406
