Sparsity	NNZ	Baseline	Proposed	Lottery ticket (class-blind)	Gradual pruning	Hard pruning (class-blind)	Hard pruning (class-distribution)	Hard pruning (class-uniform)	SNIP
0.800	2.3 M	31.2	30.9	30.1	30.6	30.6	30.6	30.1	29.3
0.900	1.1 M	31.2	30.3	29.6	30.2	31.0	30.0	29.9	16.9
0.950	0.6 M	31.2	30.4	28.8	29.8	29.7	27.7	27.9	8.3
0.975	0.3 M	31.2	29.2	27.6	28.1	27.7	24.5	25.3	7.8
